,FLT_ARR_1,FLT_DATE
114,16,2016-01-01
359,21,2016-01-02
611,20,2016-01-03
868,23,2016-01-04
1120,19,2016-01-05
1378,23,2016-01-06
1635,20,2016-01-07
1894,20,2016-01-08
2150,17,2016-01-09
2405,15,2016-01-10
2661,19,2016-01-11
2917,16,2016-01-12
3180,15,2016-01-13
3445,21,2016-01-14
3710,19,2016-01-15
3970,16,2016-01-16
4222,13,2016-01-17
4484,19,2016-01-18
4745,16,2016-01-19
5006,14,2016-01-20
5268,21,2016-01-21
5529,22,2016-01-22
5793,17,2016-01-23
6049,12,2016-01-24
6314,19,2016-01-25
6574,17,2016-01-26
6843,14,2016-01-27
7107,18,2016-01-28
7374,20,2016-01-29
7637,17,2016-01-30
7892,12,2016-01-31
8154,19,2016-02-01
8414,17,2016-02-02
8681,16,2016-02-03
8945,20,2016-02-04
9210,19,2016-02-05
9469,18,2016-02-06
9724,15,2016-02-07
9982,19,2016-02-08
10241,19,2016-02-09
10504,18,2016-02-10
10768,20,2016-02-11
11031,20,2016-02-12
11291,18,2016-02-13
11546,16,2016-02-14
11804,18,2016-02-15
12068,18,2016-02-16
12333,16,2016-02-17
12596,19,2016-02-18
12861,20,2016-02-19
13125,18,2016-02-20
13387,15,2016-02-21
13651,19,2016-02-22
13918,20,2016-02-23
14183,16,2016-02-24
14448,20,2016-02-25
14714,19,2016-02-26
14979,19,2016-02-27
15237,17,2016-02-28
15497,20,2016-02-29
15756,16,2016-03-01
16019,17,2016-03-02
16287,19,2016-03-03
16549,19,2016-03-04
16811,18,2016-03-05
17064,15,2016-03-06
17326,19,2016-03-07
17586,17,2016-03-08
17849,21,2016-03-09
18114,20,2016-03-10
18380,19,2016-03-11
18649,18,2016-03-12
18909,14,2016-03-13
19174,19,2016-03-14
19438,16,2016-03-15
19697,20,2016-03-16
19964,19,2016-03-17
20229,20,2016-03-18
20494,19,2016-03-19
20748,18,2016-03-20
21010,22,2016-03-21
21268,16,2016-03-22
21530,23,2016-03-23
21796,23,2016-03-24
22064,24,2016-03-25
22320,20,2016-03-26
22571,20,2016-03-27
22830,23,2016-03-28
23091,23,2016-03-29
23356,24,2016-03-30
23623,29,2016-03-31
23885,24,2016-04-01
24151,20,2016-04-02
24412,20,2016-04-03
24673,25,2016-04-04
24937,21,2016-04-05
25200,24,2016-04-06
25462,26,2016-04-07
25728,23,2016-04-08
25992,17,2016-04-09
26251,26,2016-04-10
26515,23,2016-04-11
26780,21,2016-04-12
27048,21,2016-04-13
27315,27,2016-04-14
27587,24,2016-04-15
27852,20,2016-04-16
28113,25,2016-04-17
28380,26,2016-04-18
28648,22,2016-04-19
28915,22,2016-04-20
29183,23,2016-04-21
29453,26,2016-04-22
29719,23,2016-04-23
29981,21,2016-04-24
30245,24,2016-04-25
30518,22,2016-04-26
30787,25,2016-04-27
31056,29,2016-04-28
31323,28,2016-04-29
31594,24,2016-04-30
31856,25,2016-05-01
32125,24,2016-05-02
32395,27,2016-05-03
32664,28,2016-05-04
32934,27,2016-05-05
33203,25,2016-05-06
33470,29,2016-05-07
33731,26,2016-05-08
33996,26,2016-05-09
34265,27,2016-05-10
34535,27,2016-05-11
34802,29,2016-05-12
35069,26,2016-05-13
35334,30,2016-05-14
35591,26,2016-05-15
35859,27,2016-05-16
36127,23,2016-05-17
36396,21,2016-05-18
36666,23,2016-05-19
36939,24,2016-05-20
37209,29,2016-05-21
37471,27,2016-05-22
37737,28,2016-05-23
38006,23,2016-05-24
38274,23,2016-05-25
38546,24,2016-05-26
38813,26,2016-05-27
39082,36,2016-05-28
39348,27,2016-05-29
39616,26,2016-05-30
39887,24,2016-05-31
40153,28,2016-06-01
40423,24,2016-06-02
40693,27,2016-06-03
40961,34,2016-06-04
41223,32,2016-06-05
41488,27,2016-06-06
41753,26,2016-06-07
42017,29,2016-06-08
42285,25,2016-06-09
42552,27,2016-06-10
42818,34,2016-06-11
43078,32,2016-06-12
43347,29,2016-06-13
43614,26,2016-06-14
43882,28,2016-06-15
44154,28,2016-06-16
44422,22,2016-06-17
44691,36,2016-06-18
44954,34,2016-06-19
45224,27,2016-06-20
45490,30,2016-06-21
45760,27,2016-06-22
46027,28,2016-06-23
46296,28,2016-06-24
46566,33,2016-06-25
46830,38,2016-06-26
47097,31,2016-06-27
47362,29,2016-06-28
47627,29,2016-06-29
47895,25,2016-06-30
48163,31,2016-07-01
48429,38,2016-07-02
48688,34,2016-07-03
48955,28,2016-07-04
49223,25,2016-07-05
49489,30,2016-07-06
49757,28,2016-07-07
50024,34,2016-07-08
50290,39,2016-07-09
50555,37,2016-07-10
50824,31,2016-07-11
51092,30,2016-07-12
51358,33,2016-07-13
51626,28,2016-07-14
51896,36,2016-07-15
52160,41,2016-07-16
52425,33,2016-07-17
52690,25,2016-07-18
52959,28,2016-07-19
53225,32,2016-07-20
53494,26,2016-07-21
53762,35,2016-07-22
54025,40,2016-07-23
54285,37,2016-07-24
54548,31,2016-07-25
54816,29,2016-07-26
55085,35,2016-07-27
55353,26,2016-07-28
55621,31,2016-07-29
55886,40,2016-07-30
56146,33,2016-07-31
56407,33,2016-08-01
56673,27,2016-08-02
56940,33,2016-08-03
57205,28,2016-08-04
57468,32,2016-08-05
57736,41,2016-08-06
57990,34,2016-08-07
58255,31,2016-08-08
58523,30,2016-08-09
58788,36,2016-08-10
59052,28,2016-08-11
59321,37,2016-08-12
59589,48,2016-08-13
59846,38,2016-08-14
60109,39,2016-08-15
60374,29,2016-08-16
60640,38,2016-08-17
60905,29,2016-08-18
61173,38,2016-08-19
61439,43,2016-08-20
61699,35,2016-08-21
61964,32,2016-08-22
