,APT_ICAO,APT_NAME,STATE_NAME
0,LATI,Tirana,Albania
1,UDYZ,Yerevan,Armenia
2,LOWG,Graz,Austria
3,LOWI,Innsbruck,Austria
4,LOWK,Klagenfurt,Austria
5,LOWL,Linz,Austria
6,LOWS,Salzburg,Austria
7,LOWW,Vienna,Austria
8,EBAW,Antwerp,Belgium
9,EBBR,Brussels,Belgium
10,EBCI,Charleroi,Belgium
11,EBLG,Liège,Belgium
12,EBOS,Ostend-Bruges,Belgium
13,LQSA,Sarajevo,Bosnia and Herzegovina
14,LBSF,Sofia,Bulgaria
15,LDZA,Zagreb,Croatia
16,LCLK,Larnaca,Cyprus
17,LCPH,Paphos,Cyprus
18,LKMT,Ostrava,Czech Republic
19,LKPR,Prague,Czech Republic
20,LKTB,Brno-Tuřany,Czech Republic
21,EKCH,Copenhagen - Kastrup,Denmark
22,EETN,Tallinn,Estonia
23,EETU,Tartu,Estonia
24,EFHK,Helsinki - Vantaa,Finland
25,LFBA,Agen-La Garenne,France
26,LFBD,Bordeaux-Mérignac,France
27,LFBE,Bergerac-Roumanière,France
28,LFBH,La Rochelle-Ile de Ré,France
29,LFBI,Poitiers-Biard,France
30,LFBL,Limoges-Bellegarde,France
31,LFBO,Toulouse-Blagnac,France
32,LFBP,Pau-Pyrénées,France
33,LFBT,Tarbes-Lourdes Pyrénées,France
34,LFBZ,Biarritz-Bayonne-Anglet,France
35,LFCR,Rodez-Marcillac,France
36,LFGJ,Dôle-Tavaux,France
37,LFJL,Metz-Nancy-Lorraine,France
38,LFKB,Bastia-Poretta,France
39,LFKC,Calvi-Sainte-Catherine,France
40,LFKF,Figari-Sud Corse,France
41,LFKJ,Ajaccio-Napoléon-Bonaparte,France
42,LFLB,Chambéry-Aix-les-Bains,France
43,LFLC,Clermont-Ferrand-Auvergne,France
44,LFLL,Lyon-Saint-Exupéry,France
45,LFLP,Annecy-Meythet,France
46,LFLS,Grenoble-Isère,France
47,LFLY,Lyon-Bron,France
48,LFMD,Cannes-Mandelieu,France
49,LFMH,Saint-Etienne-Bouthéon,France
50,LFMK,Carcassonne-Salvaza,France
51,LFML,Marseille-Provence,France
52,LFMN,Nice-Côte d’Azur,France
53,LFMP,Perpignan-Rivesaltes,France
54,LFMT,Montpellier-Méditerranée,France
55,LFMU,Béziers-Vias,France
56,LFOB,Beauvais-Tillé,France
57,LFOK,Châlons-Vatry,France
58,LFPB,Paris-Le Bourget,France
59,LFPG,Paris-Charles-de-Gaulle,France
60,LFPN,Toussus-le-Noble,France
61,LFPO,Paris-Orly,France
62,LFQQ,Lille-Lesquin,France
63,LFRB,Brest-Bretagne,France
64,LFRD,Dinard-Pleurtuit-Saint-Malo,France
65,LFRG,Deauville-Normandie,France
66,LFRH,Lorient-Lann Bihoué,France
67,LFRK,Caen-Carpiquet,France
68,LFRN,Rennes-Saint-Jacques,France
69,LFRO,Lannion,France
70,LFRQ,Quimper-Pluguffan,France
71,LFRS,Nantes-Atlantique,France
72,LFSB,Bâle-Mulhouse,France
73,LFSL,Brive-Souillac,France
74,LFST,Strasbourg-Entzheim,France
75,LFTH,Hyères-Le Palyvestre,France
76,LFTW,Nîmes-Garons,France
77,UGTB,Tbilisi,Georgia
78,EDDB,Berlin - Brandenburg,Germany
79,EDDC,Dresden,Germany
80,EDDE,Erfurt,Germany
81,EDDF,Frankfurt,Germany
82,EDDG,Muenster-Osnabrueck,Germany
83,EDDH,Hamburg,Germany
84,EDDK,Cologne-Bonn,Germany
85,EDDL,Dusseldorf,Germany
86,EDDM,Munich,Germany
87,EDDN,Nuremberg,Germany
88,EDDP,Leipzig-Halle,Germany
89,EDDR,Saarbruecken,Germany
90,EDDS,Stuttgart,Germany
91,EDDT,Berlin - Tegel,Germany
92,EDDV,Hanover,Germany
93,EDDW,Bremen,Germany
94,LGAV,Athens,Greece
95,LGIR,Heraklion,Greece
96,LGKF,Kefallinia,Greece
97,LGKO,Kos,Greece
98,LGKR,Corfu,Greece
99,LGMK,Mikonos,Greece
100,LGPZ,Aktion,Greece
101,LGRP,Rodos,Greece
102,LGSA,Khania - Souda,Greece
103,LGSR,Santorini,Greece
104,LGTS,Thessaloniki,Greece
105,LGZA,Zakinthos,Greece
106,LHBP,Budapest - Ferihegy,Hungary
107,EICK,Cork,Ireland
108,EIDL,Donegal,Ireland
109,EIDW,Dublin,Ireland
110,EIKN,Connaught,Ireland
111,EIKY,Kerry - Farranfore,Ireland
112,EINN,Shannon,Ireland
113,EIWF,Waterford,Ireland
114,LIBR,Brindisi,Italy
115,LICC,Catania,Italy
116,LIMC,Milan - Malpensa,Italy
117,LIME,Bergamo,Italy
118,LIMF,Torino Caselle,Italy
119,LIML,Milan - Linate,Italy
120,LIPE,Bologna,Italy
121,LIPH,Treviso,Italy
122,LIPZ,Venice,Italy
123,LIRA,Rome - Ciampino,Italy
124,LIRF,Rome - Fiumicino,Italy
125,LIRN,Naples,Italy
126,LIRP,Pisa San Giusto,Italy
127,EVRA,Riga,Latvia
128,EYKA,Kaunas,Lithuania
129,EYPA,Palanga,Lithuania
130,EYSA,Siauliai,Lithuania
131,EYVI,Vilnius,Lithuania
132,ELLX,Luxembourg,Luxembourg
133,LMML,Malta,Malta
134,LUKK,Chișinău,Moldova
135,LYPG,Podgorica,Montenegro
136,EHAM,Amsterdam - Schiphol,Netherlands
137,EHBK,Maastricht-Aachen,Netherlands
138,EHGG,Groningen,Netherlands
139,EHRD,Rotterdam,Netherlands
140,ENBR,Bergen,Norway
141,ENGM,Oslo - Gardermoen,Norway
142,ENHD,Haugesund,Norway
143,ENVA,Trondheim,Norway
144,ENZV,Stavanger,Norway
145,EPBY,Bydgoszcz,Poland
146,EPGD,Gdansk,Poland
147,EPKK,Krakow - Balice,Poland
