FLT_DATE,FLT_ARR_1
2016-01-01,12565
2016-01-02,15971
2016-01-03,17988
2016-01-04,18044
2016-01-05,16654
2016-01-06,16815
2016-01-07,17159
2016-01-08,18055
2016-01-09,14285
2016-01-10,16453
2016-01-11,17986
2016-01-12,16626
2016-01-13,17231
2016-01-14,17793
2016-01-15,18616
2016-01-16,13885
2016-01-17,16120
2016-01-18,17872
2016-01-19,16715
2016-01-20,17574
2016-01-21,17973
2016-01-22,19126
2016-01-23,13808
2016-01-24,16136
2016-01-25,18225
2016-01-26,16029
2016-01-27,17650
2016-01-28,18416
2016-01-29,19188
2016-01-30,14096
2016-01-31,16388
2016-02-01,18436
2016-02-02,17352
2016-02-03,17757
2016-02-04,18494
2016-02-05,19730
2016-02-06,14711
2016-02-07,16619
2016-02-08,18409
2016-02-09,17185
2016-02-10,18145
2016-02-11,18765
2016-02-12,19894
2016-02-13,15286
2016-02-14,17110
2016-02-15,19021
2016-02-16,17841
2016-02-17,18511
2016-02-18,18892
2016-02-19,20077
2016-02-20,15509
2016-02-21,17688
2016-02-22,19253
2016-02-23,18054
2016-02-24,18570
2016-02-25,19377
2016-02-26,20217
2016-02-27,15358
2016-02-28,17404
2016-02-29,19213
2016-03-01,18301
2016-03-02,18904
2016-03-03,19339
2016-03-04,20175
2016-03-05,15385
2016-03-06,17586
2016-03-07,19557
2016-03-08,18546
2016-03-09,19119
2016-03-10,19919
2016-03-11,20667
2016-03-12,15504
2016-03-13,17656
2016-03-14,19895
2016-03-15,18857
2016-03-16,19456
2016-03-17,20507
2016-03-18,21408
2016-03-19,16570
2016-03-20,17201
2016-03-21,18889
2016-03-22,18465
2016-03-23,19292
2016-03-24,20112
2016-03-25,18802
2016-03-26,15768
2016-03-27,17580
2016-03-28,19290
2016-03-29,20385
2016-03-30,20418
2016-03-31,20297
2016-04-01,21628
2016-04-02,17703
2016-04-03,19646
2016-04-04,21414
2016-04-05,20576
2016-04-06,21032
2016-04-07,20953
2016-04-08,22114
2016-04-09,17229
2016-04-10,19737
2016-04-11,21694
2016-04-12,20796
2016-04-13,21172
2016-04-14,21798
2016-04-15,22362
2016-04-16,17567
2016-04-17,19764
2016-04-18,21869
2016-04-19,20856
2016-04-20,21271
2016-04-21,21963
2016-04-22,22549
2016-04-23,17749
2016-04-24,19891
2016-04-25,21848
2016-04-26,21104
2016-04-27,20591
2016-04-28,21926
2016-04-29,23181
2016-04-30,18466
2016-05-01,20370
2016-05-02,22371
2016-05-03,22061
2016-05-04,22637
2016-05-05,21138
2016-05-06,21131
2016-05-07,18555
2016-05-08,21484
2016-05-09,22881
2016-05-10,22240
2016-05-11,22466
2016-05-12,23240
2016-05-13,23834
2016-05-14,19301
2016-05-15,20347
2016-05-16,22068
2016-05-17,22198
2016-05-18,22951
2016-05-19,22932
2016-05-20,23833
2016-05-21,19484
2016-05-22,21526
2016-05-23,23095
2016-05-24,22687
2016-05-25,23325
2016-05-26,22915
2016-05-27,24294
2016-05-28,20334
2016-05-29,22193
2016-05-30,23481
2016-05-31,23051
2016-06-01,23675
2016-06-02,23788
2016-06-03,24353
2016-06-04,20358
2016-06-05,22281
2016-06-06,23667
2016-06-07,23026
2016-06-08,23574
2016-06-09,24171
2016-06-10,24741
2016-06-11,20357
2016-06-12,22084
2016-06-13,23903
2016-06-14,23006
2016-06-15,24093
2016-06-16,24429
2016-06-17,24741
2016-06-18,21067
2016-06-19,22777
2016-06-20,24488
2016-06-21,23947
2016-06-22,24209
2016-06-23,24179
2016-06-24,24683
2016-06-25,21027
2016-06-26,23133
2016-06-27,24285
2016-06-28,23292
2016-06-29,24173
2016-06-30,24775
2016-07-01,25453
2016-07-02,21758
2016-07-03,23124
2016-07-04,24650
2016-07-05,23615
2016-07-06,24586
2016-07-07,24993
2016-07-08,25467
2016-07-09,22114
2016-07-10,23465
2016-07-11,24726
2016-07-12,23940
2016-07-13,24294
2016-07-14,24266
2016-07-15,24806
2016-07-16,21317
2016-07-17,23437
2016-07-18,24560
2016-07-19,23848
2016-07-20,24282
2016-07-21,24556
2016-07-22,24895
2016-07-23,21877
2016-07-24,23228
2016-07-25,24363
2016-07-26,23788
2016-07-27,24015
2016-07-28,24185
2016-07-29,24966
2016-07-30,22028
2016-07-31,23162
2016-08-01,23961
2016-08-02,23187
2016-08-03,23639
2016-08-04,23787
2016-08-05,24444
2016-08-06,22128
2016-08-07,22960
2016-08-08,23826
2016-08-09,23076
2016-08-10,23466
2016-08-11,23591
2016-08-12,24336
2016-08-13,22226
2016-08-14,22932
2016-08-15,23785
2016-08-16,23410
2016-08-17,23810
2016-08-18,24043
2016-08-19,24650
2016-08-20,22002
2016-08-21,23248
2016-08-22,24340
2016-08-23,23880
2016-08-24,24200
2016-08-25,24551
2016-08-26,25255
2016-08-27,22133
2016-08-28,23330
2016-08-29,24765
2016-08-30,24464
2016-08-31,24770
2016-09-01,24809
2016-09-02,25447
2016-09-03,21885
